fill	colour	y	x	showSelected1	showSelected2	PANEL
#000000	#00BFC4	3.34685523462656	96	validation	TRUE	1
#000000	#F8766D	2.77614265601897	97	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	97	validation	TRUE	1
#000000	#F8766D	2.78266805011871	98	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	98	validation	TRUE	1
transparent	#F8766D	2.78982564161219	99	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	99	validation	FALSE	1
transparent	#F8766D	2.79718500195117	100	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	100	validation	FALSE	1
#000000	#F8766D	2.80318258367394	101	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	101	validation	TRUE	1
#000000	#F8766D	2.8105345599285	102	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	102	validation	TRUE	1
#000000	#F8766D	2.81848530947046	103	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	103	validation	TRUE	1
transparent	#F8766D	2.8269776409819	104	subtrain	FALSE	1
transparent	#00BFC4	2.63710975379604	104	validation	FALSE	1
#000000	#F8766D	2.83408773110977	105	subtrain	TRUE	1
#000000	#00BFC4	2.63559544004392	105	validation	TRUE	1
#000000	#F8766D	2.84318073480763	106	subtrain	TRUE	1
#000000	#00BFC4	2.64514697685127	106	validation	TRUE	1
#000000	#F8766D	2.85224684011938	107	subtrain	TRUE	1
#000000	#00BFC4	2.64617184414268	107	validation	TRUE	1
#000000	#F8766D	2.86195275672718	108	subtrain	TRUE	1
#000000	#00BFC4	2.64697453978039	108	validation	TRUE	1
transparent	#F8766D	2.87366420485687	109	subtrain	FALSE	1
transparent	#00BFC4	2.65620429917536	109	validation	FALSE	1
#000000	#F8766D	2.88179154718498	110	subtrain	TRUE	1
#000000	#00BFC4	2.66070643633148	110	validation	TRUE	1
#000000	#F8766D	2.89532058297527	111	subtrain	TRUE	1
#000000	#00BFC4	2.66468397873553	111	validation	TRUE	1
#000000	#F8766D	2.90887652804922	112	subtrain	TRUE	1
#000000	#00BFC4	2.67588690670713	112	validation	TRUE	1
#000000	#F8766D	2.92329982819396	113	subtrain	TRUE	1
#000000	#00BFC4	2.68407706339316	113	validation	TRUE	1
transparent	#F8766D	2.94806217370164	114	subtrain	FALSE	1
transparent	#00BFC4	2.70278798320717	114	validation	FALSE	1
#000000	#F8766D	2.96984077053187	115	subtrain	TRUE	1
#000000	#00BFC4	2.72315710972511	115	validation	TRUE	1
#000000	#F8766D	2.99845025314053	116	subtrain	TRUE	1
#000000	#00BFC4	2.7383217498075	116	validation	TRUE	1
#000000	#F8766D	3.03294687423715	117	subtrain	TRUE	1
#000000	#00BFC4	2.77199120416823	117	validation	TRUE	1
#000000	#F8766D	3.09717820255099	118	subtrain	TRUE	1
#000000	#00BFC4	2.827353885335	118	validation	TRUE	1
#000000	#F8766D	3.17911097075617	119	subtrain	TRUE	1
#000000	#00BFC4	2.90269838475576	119	validation	TRUE	1
#000000	#F8766D	3.31297299728419	120	subtrain	TRUE	1
#000000	#00BFC4	3.01254773937369	120	validation	TRUE	1
#000000	#F8766D	0.851884343086248	60	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	60	validation	TRUE	2
#000000	#F8766D	0.851884343086248	61	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	61	validation	TRUE	2
transparent	#F8766D	0.851884343086248	62	subtrain	FALSE	2
transparent	#00BFC4	1.02873546823449	62	validation	FALSE	2
transparent	#F8766D	0.851884343086248	63	subtrain	FALSE	2
transparent	#00BFC4	1.02873546823449	63	validation	FALSE	2
transparent	#F8766D	0.851884343086248	64	subtrain	FALSE	2
transparent	#00BFC4	1.02873546823449	64	validation	FALSE	2
#000000	#F8766D	0.851884343086248	65	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	65	validation	TRUE	2
#000000	#F8766D	0.859780823932282	66	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	66	validation	TRUE	2
#000000	#F8766D	0.859780823932282	67	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	67	validation	TRUE	2
#000000	#F8766D	0.859780823932282	68	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	68	validation	TRUE	2
transparent	#F8766D	0.859780823932282	69	subtrain	FALSE	2
transparent	#00BFC4	1.0313755644007	69	validation	FALSE	2
#000000	#F8766D	0.859780823932282	70	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	70	validation	TRUE	2
#000000	#F8766D	0.859780823932282	71	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	71	validation	TRUE	2
#000000	#F8766D	0.859780823932282	72	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	72	validation	TRUE	2
#000000	#F8766D	0.859780823932282	73	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	73	validation	TRUE	2
#000000	#F8766D	0.859780823932282	74	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	74	validation	TRUE	2
#000000	#F8766D	0.859780823932282	75	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	75	validation	TRUE	2
#000000	#F8766D	0.859780823932282	76	subtrain	TRUE	2
#000000	#00BFC4	1.0313755644007	76	validation	TRUE	2
#000000	#F8766D	0.861732712529804	77	subtrain	TRUE	2
#000000	#00BFC4	1.02071749621864	77	validation	TRUE	2
#000000	#F8766D	0.861732712529804	78	subtrain	TRUE	2
#000000	#00BFC4	1.02071749621864	78	validation	TRUE	2
#000000	#F8766D	0.861732712529804	79	subtrain	TRUE	2
#000000	#00BFC4	1.02071749621864	79	validation	TRUE	2
transparent	#F8766D	0.878915834372543	80	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	80	validation	FALSE	2
transparent	#F8766D	0.878915834372543	81	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	81	validation	FALSE	2
transparent	#F8766D	0.878915834372543	82	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	82	validation	FALSE	2
transparent	#F8766D	0.878915834372543	83	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	83	validation	FALSE	2
transparent	#F8766D	0.878915834372543	84	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	84	validation	FALSE	2
transparent	#F8766D	0.878915834372543	85	subtrain	FALSE	2
transparent	#00BFC4	1.02071749621864	85	validation	FALSE	2
transparent	#F8766D	0.880783770507663	86	subtrain	FALSE	2
transparent	#00BFC4	0.995735208131567	86	validation	FALSE	2
#000000	#F8766D	0.888176195491748	87	subtrain	TRUE	2
#000000	#00BFC4	0.995735208131567	87	validation	TRUE	2
#000000	#F8766D	0.90962719657738	88	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	88	validation	TRUE	2
#000000	#F8766D	0.90962719657738	89	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	89	validation	TRUE	2
#000000	#F8766D	0.90962719657738	90	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	90	validation	TRUE	2
#000000	#F8766D	0.90962719657738	91	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	91	validation	TRUE	2
#000000	#F8766D	0.90962719657738	92	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	92	validation	TRUE	2
#000000	#F8766D	0.90962719657738	93	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	93	validation	TRUE	2
#000000	#F8766D	0.90962719657738	94	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	94	validation	TRUE	2
#000000	#F8766D	0.90962719657738	95	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	95	validation	TRUE	2
#000000	#F8766D	0.90962719657738	96	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	96	validation	TRUE	2
#000000	#F8766D	0.90962719657738	97	subtrain	TRUE	2
#000000	#00BFC4	1.02873546823449	97	validation	TRUE	2
#000000	#F8766D	0.911367858153681	98	subtrain	TRUE	2
#000000	#00BFC4	1.02340663472943	98	validation	TRUE	2
transparent	#F8766D	0.911367858153681	99	subtrain	FALSE	2
transparent	#00BFC4	1.02340663472943	99	validation	FALSE	2
transparent	#F8766D	0.911367858153681	100	subtrain	FALSE	2
transparent	#00BFC4	1.02340663472943	100	validation	FALSE	2
#000000	#F8766D	0.911367858153681	101	subtrain	TRUE	2
#000000	#00BFC4	1.02340663472943	101	validation	TRUE	2
#000000	#F8766D	0.911367858153681	102	subtrain	TRUE	2
#000000	#00BFC4	1.02340663472943	102	validation	TRUE	2
#000000	#F8766D	0.911367858153681	103	subtrain	TRUE	2
#000000	#00BFC4	1.02340663472943	103	validation	TRUE	2
transparent	#F8766D	0.918261566101582	104	subtrain	FALSE	2
transparent	#00BFC4	1.00979127259603	104	validation	FALSE	2
#000000	#F8766D	0.918261566101582	105	subtrain	TRUE	2
#000000	#00BFC4	1.00979127259603	105	validation	TRUE	2
#000000	#F8766D	0.923360972812938	106	subtrain	TRUE	2
#000000	#00BFC4	1.01801160284272	106	validation	TRUE	2
#000000	#F8766D	0.923360972812938	107	subtrain	TRUE	2
#000000	#00BFC4	1.01801160284272	107	validation	TRUE	2
#000000	#F8766D	0.923360972812938	108	subtrain	TRUE	2
#000000	#00BFC4	1.01801160284272	108	validation	TRUE	2
transparent	#F8766D	0.923360972812938	109	subtrain	FALSE	2
transparent	#00BFC4	1.01801160284272	109	validation	FALSE	2
#000000	#F8766D	0.923360972812938	110	subtrain	TRUE	2
#000000	#00BFC4	1.01801160284272	110	validation	TRUE	2
#000000	#F8766D	0.923360972812938	111	subtrain	TRUE	2
#000000	#00BFC4	1.01801160284272	111	validation	TRUE	2
#000000	#F8766D	0.955907618546092	112	subtrain	TRUE	2
#000000	#00BFC4	1.04942006709434	112	validation	TRUE	2
#000000	#F8766D	0.989099037806073	113	subtrain	TRUE	2
#000000	#00BFC4	1.07157019505598	113	validation	TRUE	2
transparent	#F8766D	0.989099037806073	114	subtrain	FALSE	2
transparent	#00BFC4	1.07157019505598	114	validation	FALSE	2
#000000	#F8766D	0.989099037806073	115	subtrain	TRUE	2
#000000	#00BFC4	1.07157019505598	115	validation	TRUE	2
#000000	#F8766D	1.12088287269631	116	subtrain	TRUE	2
#000000	#00BFC4	1.16607413829816	116	validation	TRUE	2
#000000	#F8766D	1.15589236972377	117	subtrain	TRUE	2
#000000	#00BFC4	1.20128144652552	117	validation	TRUE	2
#000000	#F8766D	1.15589236972377	118	subtrain	TRUE	2
#000000	#00BFC4	1.20128144652552	118	validation	TRUE	2
#000000	#F8766D	1.30371301351489	119	subtrain	TRUE	2
#000000	#00BFC4	1.33763808699836	119	validation	TRUE	2
#000000	#F8766D	1.59549478376676	120	subtrain	TRUE	2
#000000	#00BFC4	1.59564699483926	120	validation	TRUE	2
