fill	colour	y	x	showSelected1	showSelected2	PANEL
#000000	#F8766D	2.65428396463345	60	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	60	validation	TRUE	1
#000000	#F8766D	2.65489275422964	61	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	61	validation	TRUE	1
transparent	#F8766D	2.6562493182587	62	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	62	validation	FALSE	1
transparent	#F8766D	2.65768577413916	63	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	63	validation	FALSE	1
transparent	#F8766D	2.65855468411005	64	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	64	validation	FALSE	1
#000000	#F8766D	2.65969458935815	65	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	65	validation	TRUE	1
#000000	#F8766D	2.66142213874855	66	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	66	validation	TRUE	1
#000000	#F8766D	2.66318941608034	67	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	67	validation	TRUE	1
#000000	#F8766D	2.66498737152658	68	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	68	validation	TRUE	1
transparent	#F8766D	2.66717448401887	69	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	69	validation	FALSE	1
#000000	#F8766D	2.66923794952481	70	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	70	validation	TRUE	1
#000000	#F8766D	2.67142697820356	71	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	71	validation	TRUE	1
#000000	#F8766D	2.67365213193542	72	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	72	validation	TRUE	1
#000000	#F8766D	2.67629882127561	73	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	73	validation	TRUE	1
#000000	#F8766D	2.67906172176861	74	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	74	validation	TRUE	1
#000000	#F8766D	2.68198837022471	75	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	75	validation	TRUE	1
#000000	#F8766D	2.6851829701344	76	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	76	validation	TRUE	1
#000000	#F8766D	2.68838891709956	77	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	77	validation	TRUE	1
#000000	#F8766D	2.69173893100298	78	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	78	validation	TRUE	1
#000000	#F8766D	2.6954087779416	79	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	79	validation	TRUE	1
transparent	#F8766D	2.69941555699153	80	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	80	validation	FALSE	1
transparent	#F8766D	2.70342116178711	81	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	81	validation	FALSE	1
transparent	#F8766D	2.70760493704079	82	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	82	validation	FALSE	1
transparent	#F8766D	2.71191637901494	83	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	83	validation	FALSE	1
transparent	#F8766D	2.71514601490808	84	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	84	validation	FALSE	1
transparent	#F8766D	2.71853224526105	85	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	85	validation	FALSE	1
transparent	#F8766D	2.72277121057641	86	subtrain	FALSE	1
transparent	#00BFC4	3.34685523462656	86	validation	FALSE	1
#000000	#F8766D	2.72458598230642	87	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	87	validation	TRUE	1
#000000	#F8766D	2.72886306605783	88	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	88	validation	TRUE	1
#000000	#F8766D	2.73345109082129	89	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	89	validation	TRUE	1
#000000	#F8766D	2.73854319164077	90	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	90	validation	TRUE	1
#000000	#F8766D	2.74358978537677	91	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	91	validation	TRUE	1
#000000	#F8766D	2.74873590194938	92	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	92	validation	TRUE	1
#000000	#F8766D	2.75391009428984	93	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	93	validation	TRUE	1
#000000	#F8766D	2.75914783451486	94	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	94	validation	TRUE	1
#000000	#F8766D	2.76440242649041	95	subtrain	TRUE	1
#000000	#00BFC4	3.34685523462656	95	validation	TRUE	1
#000000	#F8766D	2.76988022798166	96	subtrain	TRUE	1
