colour	y	x	group	showSelected1	PANEL
#F8766D	3.31297299728419	0	1	subtrain	1
#F8766D	3.17911097075617	1	1	subtrain	1
#F8766D	3.09717820255099	2	1	subtrain	1
#F8766D	3.03294687423715	3	1	subtrain	1
#F8766D	2.99845025314053	4	1	subtrain	1
#F8766D	2.96984077053187	5	1	subtrain	1
#F8766D	2.94806217370164	6	1	subtrain	1
#F8766D	2.92329982819396	7	1	subtrain	1
#F8766D	2.90887652804922	8	1	subtrain	1
#F8766D	2.89532058297527	9	1	subtrain	1
#F8766D	2.88179154718498	10	1	subtrain	1
#F8766D	2.87252368568571	11	1	subtrain	1
#F8766D	2.86387528562363	12	1	subtrain	1
#F8766D	2.85520966134041	13	1	subtrain	1
#F8766D	2.84656419012088	14	1	subtrain	1
#F8766D	2.83408773110977	15	1	subtrain	1
#F8766D	2.82642004112191	16	1	subtrain	1
#F8766D	2.81918224285582	17	1	subtrain	1
#F8766D	2.8105345599285	18	1	subtrain	1
#F8766D	2.80318258367394	19	1	subtrain	1
#F8766D	2.79624351798504	20	1	subtrain	1
#F8766D	2.78992041314343	21	1	subtrain	1
#F8766D	2.78373552601039	22	1	subtrain	1
#F8766D	2.77614265601897	23	1	subtrain	1
#F8766D	2.76988022798166	24	1	subtrain	1
#F8766D	2.76440242649041	25	1	subtrain	1
#F8766D	2.75914783451486	26	1	subtrain	1
#F8766D	2.75391009428984	27	1	subtrain	1
#F8766D	2.74873590194938	28	1	subtrain	1
#F8766D	2.74358978537677	29	1	subtrain	1
#F8766D	2.73854319164077	30	1	subtrain	1
#F8766D	2.73345109082129	31	1	subtrain	1
#F8766D	2.72886306605783	32	1	subtrain	1
#F8766D	2.72458598230642	33	1	subtrain	1
#F8766D	2.72056338238501	34	1	subtrain	1
#F8766D	2.71671349401642	35	1	subtrain	1
#F8766D	2.71286386391739	36	1	subtrain	1
#F8766D	2.70933917831356	37	1	subtrain	1
#F8766D	2.70588021557501	38	1	subtrain	1
#F8766D	2.70258066891718	39	1	subtrain	1
#F8766D	2.69817506695566	40	1	subtrain	1
#F8766D	2.69487452109905	41	1	subtrain	1
#F8766D	2.69171626813924	42	1	subtrain	1
#F8766D	2.68856953966181	43	1	subtrain	1
#F8766D	2.68568705282154	44	1	subtrain	1
#F8766D	2.68296611288745	45	1	subtrain	1
#F8766D	2.68035986646888	46	1	subtrain	1
#F8766D	2.67816890264899	47	1	subtrain	1
#F8766D	2.67601367753428	48	1	subtrain	1
#F8766D	2.67398223056937	49	1	subtrain	1
#F8766D	2.67182921912511	50	1	subtrain	1
#F8766D	2.6697794914763	51	1	subtrain	1
#F8766D	2.66498737152658	52	1	subtrain	1
#F8766D	2.66318941608034	53	1	subtrain	1
#F8766D	2.66142213874855	54	1	subtrain	1
#F8766D	2.65969458935815	55	1	subtrain	1
#F8766D	2.65834876104427	56	1	subtrain	1
#F8766D	2.65720531322129	57	1	subtrain	1
#F8766D	2.65633369659761	58	1	subtrain	1
#F8766D	2.65489275422964	59	1	subtrain	1
#F8766D	2.65428396463345	60	1	subtrain	1
#00BFC4	3.01254773937369	0	2	validation	1
#00BFC4	2.90269838475576	1	2	validation	1
#00BFC4	2.827353885335	2	2	validation	1
#00BFC4	2.77199120416823	3	2	validation	1
#00BFC4	2.7383217498075	4	2	validation	1
#00BFC4	2.72315710972511	5	2	validation	1
#00BFC4	2.70278798320717	6	2	validation	1
#00BFC4	2.68407706339316	7	2	validation	1
#00BFC4	2.67588690670713	8	2	validation	1
#00BFC4	2.66468397873553	9	2	validation	1
#00BFC4	2.66070643633148	10	2	validation	1
#00BFC4	2.65992874634468	11	2	validation	1
#00BFC4	2.65893587096668	12	2	validation	1
#00BFC4	2.64968603452441	13	2	validation	1
#00BFC4	2.64506757456344	14	2	validation	1
#00BFC4	2.63559544004392	15	2	validation	1
#00BFC4	2.63532825043679	16	2	validation	1
#00BFC4	2.63684349449811	17	2	validation	1
#00BFC4	3.34685523462656	18	2	validation	1
#00BFC4	3.34685523462656	19	2	validation	1
#00BFC4	3.34685523462656	20	2	validation	1
#00BFC4	3.34685523462656	21	2	validation	1
#00BFC4	3.34685523462656	22	2	validation	1
#00BFC4	3.34685523462656	23	2	validation	1
#00BFC4	3.34685523462656	24	2	validation	1
#00BFC4	3.34685523462656	25	2	validation	1
#00BFC4	3.34685523462656	26	2	validation	1
#00BFC4	3.34685523462656	27	2	validation	1
#00BFC4	3.34685523462656	28	2	validation	1
#00BFC4	3.34685523462656	29	2	validation	1
#00BFC4	3.34685523462656	30	2	validation	1
#00BFC4	3.34685523462656	31	2	validation	1
#00BFC4	3.34685523462656	32	2	validation	1
#00BFC4	3.34685523462656	33	2	validation	1
#00BFC4	3.34685523462656	34	2	validation	1
#00BFC4	3.34685523462656	35	2	validation	1
#00BFC4	3.34685523462656	36	2	validation	1
#00BFC4	3.34685523462656	37	2	validation	1
#00BFC4	3.34685523462656	38	2	validation	1
#00BFC4	3.34685523462656	39	2	validation	1
#00BFC4	3.34685523462656	40	2	validation	1
#00BFC4	3.34685523462656	41	2	validation	1
#00BFC4	3.34685523462656	42	2	validation	1
#00BFC4	3.34685523462656	43	2	validation	1
#00BFC4	3.34685523462656	44	2	validation	1
#00BFC4	3.34685523462656	45	2	validation	1
#00BFC4	3.34685523462656	46	2	validation	1
#00BFC4	3.34685523462656	47	2	validation	1
#00BFC4	3.34685523462656	48	2	validation	1
#00BFC4	3.34685523462656	49	2	validation	1
#00BFC4	3.34685523462656	50	2	validation	1
#00BFC4	3.34685523462656	51	2	validation	1
#00BFC4	3.34685523462656	52	2	validation	1
#00BFC4	3.34685523462656	53	2	validation	1
#00BFC4	3.34685523462656	54	2	validation	1
#00BFC4	3.34685523462656	55	2	validation	1
#00BFC4	3.34685523462656	56	2	validation	1
#00BFC4	3.34685523462656	57	2	validation	1
#00BFC4	3.34685523462656	58	2	validation	1
#00BFC4	3.34685523462656	59	2	validation	1
#00BFC4	3.34685523462656	60	2	validation	1
#F8766D	2.65428396463345	60	3	subtrain	1
#F8766D	2.65489275422964	61	3	subtrain	1
#F8766D	2.6562493182587	62	3	subtrain	1
#F8766D	2.65768577413916	63	3	subtrain	1
#F8766D	2.65855468411005	64	3	subtrain	1
#F8766D	2.65969458935815	65	3	subtrain	1
#F8766D	2.66142213874855	66	3	subtrain	1
#F8766D	2.66318941608034	67	3	subtrain	1
#F8766D	2.66498737152658	68	3	subtrain	1
#F8766D	2.66717448401887	69	3	subtrain	1
#F8766D	2.66923794952481	70	3	subtrain	1
#F8766D	2.67142697820356	71	3	subtrain	1
#F8766D	2.67365213193542	72	3	subtrain	1
#F8766D	2.67629882127561	73	3	subtrain	1
#F8766D	2.67906172176861	74	3	subtrain	1
#F8766D	2.68198837022471	75	3	subtrain	1
#F8766D	2.6851829701344	76	3	subtrain	1
#F8766D	2.68838891709956	77	3	subtrain	1
#F8766D	2.69173893100298	78	3	subtrain	1
#F8766D	2.6954087779416	79	3	subtrain	1
#F8766D	2.69941555699153	80	3	subtrain	1
#F8766D	2.70342116178711	81	3	subtrain	1
#F8766D	2.70760493704079	82	3	subtrain	1
#F8766D	2.71191637901494	83	3	subtrain	1
#F8766D	2.71514601490808	84	3	subtrain	1
#F8766D	2.71853224526105	85	3	subtrain	1
#F8766D	2.72277121057641	86	3	subtrain	1
#F8766D	2.72458598230642	87	3	subtrain	1
#F8766D	2.72886306605783	88	3	subtrain	1
#F8766D	2.73345109082129	89	3	subtrain	1
#F8766D	2.73854319164077	90	3	subtrain	1
#F8766D	2.74358978537677	91	3	subtrain	1
#F8766D	2.74873590194938	92	3	subtrain	1
#F8766D	2.75391009428984	93	3	subtrain	1
#F8766D	2.75914783451486	94	3	subtrain	1
#F8766D	2.76440242649041	95	3	subtrain	1
#F8766D	2.76988022798166	96	3	subtrain	1
#F8766D	2.77614265601897	97	3	subtrain	1
#F8766D	2.78266805011871	98	3	subtrain	1
#F8766D	2.78982564161219	99	3	subtrain	1
#F8766D	2.79718500195117	100	3	subtrain	1
#F8766D	2.80318258367394	101	3	subtrain	1
#F8766D	2.8105345599285	102	3	subtrain	1
#F8766D	2.81848530947046	103	3	subtrain	1
#F8766D	2.8269776409819	104	3	subtrain	1
#F8766D	2.83408773110977	105	3	subtrain	1
#F8766D	2.84318073480763	106	3	subtrain	1
#F8766D	2.85224684011938	107	3	subtrain	1
#F8766D	2.86195275672718	108	3	subtrain	1
#F8766D	2.87366420485687	109	3	subtrain	1
#F8766D	2.88179154718498	110	3	subtrain	1
#F8766D	2.89532058297527	111	3	subtrain	1
#F8766D	2.90887652804922	112	3	subtrain	1
#F8766D	2.92329982819396	113	3	subtrain	1
#F8766D	2.94806217370164	114	3	subtrain	1
#F8766D	2.96984077053187	115	3	subtrain	1
#F8766D	2.99845025314053	116	3	subtrain	1
#F8766D	3.03294687423715	117	3	subtrain	1
#F8766D	3.09717820255099	118	3	subtrain	1
#F8766D	3.17911097075617	119	3	subtrain	1
#F8766D	3.31297299728419	120	3	subtrain	1
#00BFC4	3.34685523462656	60	4	validation	1
#00BFC4	3.34685523462656	61	4	validation	1
#00BFC4	3.34685523462656	62	4	validation	1
#00BFC4	3.34685523462656	63	4	validation	1
#00BFC4	3.34685523462656	64	4	validation	1
#00BFC4	3.34685523462656	65	4	validation	1
#00BFC4	3.34685523462656	66	4	validation	1
#00BFC4	3.34685523462656	67	4	validation	1
#00BFC4	3.34685523462656	68	4	validation	1
#00BFC4	3.34685523462656	69	4	validation	1
#00BFC4	3.34685523462656	70	4	validation	1
#00BFC4	3.34685523462656	71	4	validation	1
#00BFC4	3.34685523462656	72	4	validation	1
#00BFC4	3.34685523462656	73	4	validation	1
#00BFC4	3.34685523462656	74	4	validation	1
#00BFC4	3.34685523462656	75	4	validation	1
#00BFC4	3.34685523462656	76	4	validation	1
#00BFC4	3.34685523462656	77	4	validation	1
#00BFC4	3.34685523462656	78	4	validation	1
#00BFC4	3.34685523462656	79	4	validation	1
#00BFC4	3.34685523462656	80	4	validation	1
#00BFC4	3.34685523462656	81	4	validation	1
#00BFC4	3.34685523462656	82	4	validation	1
#00BFC4	3.34685523462656	83	4	validation	1
#00BFC4	3.34685523462656	84	4	validation	1
#00BFC4	3.34685523462656	85	4	validation	1
#00BFC4	3.34685523462656	86	4	validation	1
#00BFC4	3.34685523462656	87	4	validation	1
#00BFC4	3.34685523462656	88	4	validation	1
#00BFC4	3.34685523462656	89	4	validation	1
#00BFC4	3.34685523462656	90	4	validation	1
#00BFC4	3.34685523462656	91	4	validation	1
#00BFC4	3.34685523462656	92	4	validation	1
#00BFC4	3.34685523462656	93	4	validation	1
